"","Region","Year","DOY","Grade_pass","Altitude_Source","Filename","Role","Pixel_Width_5","Pixel_Width_10","Pixel_Width_15","Pixel_Width_20","Pixel_Width_25","Pixel_Width_30","Pixel_Width_35","Pixel_Width_40","Pixel_Width_45","Pixel_Width_50","Pixel_Width_55","Pixel_Width_60","Pixel_Width_65","Pixel_Width_70","Pixel_Width_75","Pixel_Width_80","Pixel_Width_85","Pixel_Width_90","Pixel_Width_95","Corrected_height_m","Pixel_length"
"34","HI",2019,19,"Y","S_Alt","2019.01.19.64.02","Calf",7.709118364,11.25351272,13.34802581,17.40869715,16.55275414,16.57303397,18.00341587,18.87796973,19.10078363,17.68125605,16.62367949,14.65354692,11.26808922,9.289839914,6.782093915,4.999882898,4.069856699,5.295903476,16.07830955,"32.28207353",0.13569
"35","HI",2019,19,"Y","S_Alt","2019.01.19.65.01","Mother",6.936611998,11.64121875,13.19828651,14.84455428,18.71522685,19.43977726,20.11059634,20.96114821,21.91354345,21.52817878,20.85259292,18.99431756,15.96156549,12.52165604,8.994407679,5.774430454,3.427974486,2.737403888,12.7356568,"34.68783313",0.35017
"36","HI",2019,19,"Y","S_Alt","2019.01.19.65.02","Calf",7.725591968,10.2790126,11.99764655,14.90286027,17.03537551,17.11080348,17.86792888,18.23092451,18.00121859,17.38925782,15.49557382,12.90359871,10.80867739,8.81710031,7.088176359,4.37258919,3.69683523,7.440065508,21.3685097,"33.36168725",0.14266
"37","HI",2019,20,"Y","S_Alt","2019.01.20.83.01","Mother",7.893437821,11.94883809,13.09076383,13.19179073,17.72940412,19.00602438,20.45789882,21.53029202,22.22923149,22.0529087,21.20741178,19.38967205,17.02703064,12.97724965,9.629998224,6.437012735,3.821672009,3.415679318,11.77057016,"36.99503575",0.37075
"38","HI",2019,20,"Y","S_Alt","2019.01.20.83.02","Calf",8.761136246,11.59534097,13.52988033,17.50934197,17.71513212,18.15472257,18.6693868,19.0321127,18.91517264,18.07780527,16.45660008,14.6366507,12.44085501,10.66879637,8.458470109,6.598303782,4.080170052,8.808966428,20.45500055,"36.72534587",0.133010894
"39","HI",2019,24,"Y","S_Alt","2019.01.24.115.01","Mother",8.933484161,12.67221181,14.77899606,15.5476962,20.38905068,20.60450429,21.45380743,22.18353285,22.36088825,22.20562573,20.48155261,18.38719561,15.31977933,12.42572011,9.290884523,5.791156205,4.293403025,3.477059102,16.06587029,"38.40784834",0.32809
"40","HI",2019,24,"Y","S_Alt","2019.01.24.115.02","Calf",8.547831328,11.49488944,14.1698089,19.94177792,19.89445834,21.84811731,22.16306092,21.83291644,21.3074421,19.86482506,18.04372337,14.71854081,13.41458061,10.07640648,8.319674314,6.550947158,4.105685587,8.757137352,22.18535791,"39.13584215",0.14053
"41","HI",2019,24,"N","S_Alt","2019.01.24.118.01","Mother",7.50516,11.42157,13.2117,14.38371,17.09878,18.19689,18.46864,19.56506,19.58782,18.79163,17.92183,16.37207,13.8236,10.85386,8.08438,5.09679,3.64006,2.57464,9.363159998,"50.66786179",0.25133
"42","HI",2019,24,"N","S_Alt","2019.01.24.118.02","Calf",7.75129,10.33347,13.20366,16.01038,18.3017,20.38136,20.2802,20.72352,20.02576,18.69255,16.72108,14.48502,12.08257,8.969540002,6.84292,5.07407,4.16208,6.89635,19.46824,"33.36993449",0.17043
"43","HI",2019,24,"N","S_Alt","2019.01.24.118.03","Mother",9.593280818,14.0737409,16.79751684,18.3782624,18.78843353,22.99072744,22.60533876,23.86869129,24.76635862,24.76621454,23.93500595,21.84600407,19.20065785,14.88985669,11.66853468,8.297977665,5.333689505,3.412005176,9.957741296,"31.45474919",0.3583
"44","HI",2019,24,"N","S_Alt","2019.01.24.118.04","Calf",11.00597641,14.65581624,18.18601833,21.854457,24.35074832,25.44232871,26.36509067,26.31449317,24.75641682,22.64567027,19.62539347,16.74938078,14.28046542,11.37753303,8.554819402,5.925502528,4.616667486,10.89922217,26.03976101,"33.22892652",0.1595
"45","HI",2019,24,"N","S_Alt","2019.01.24.120.01","Mother",9.873548212,14.24546501,15.92972292,16.42139756,20.92552344,20.81178113,21.80255074,22.54883382,22.78232194,22.63357922,21.56566464,18.90204376,15.76743631,12.37691166,9.041246986,6.142649123,4.202702147,3.306187485,12.36853077,"38.26934798",0.33783
"46","HI",2019,24,"N","S_Alt","2019.01.24.120.02","Calf",9.248427771,13.37058696,16.83649156,21.34839797,23.20331137,23.94953442,24.66811735,24.37859256,23.82478169,21.52689403,19.47384112,17.16676811,15.00197805,12.802884,10.47129269,7.384256972,5.603895033,6.561009024,22.45089272,"38.22707144",0.13692
"47","HI",2019,24,"Y","S_Alt","2019.01.24.122.01","Mother",8.817964814,12.60367586,14.41253041,16.23161492,20.61696755,21.2125868,22.66874773,23.07073008,23.10689516,22.5390241,20.93059039,18.48999955,15.68845426,13.02751095,9.184826692,5.585968582,4.163439257,3.15724065,15.39021239,"35.73325981",0.35783
"48","HI",2019,24,"N","S_Alt","2019.01.24.122.02","Calf",9.112928776,12.10692225,15.67780405,20.99959462,20.19197979,22.39714939,23.48212592,22.27066765,21.07887684,19.08505446,17.74659815,14.40907239,12.40098569,10.91570778,8.947064078,5.771116522,4.493703799,7.143912853,26.60447423,"38.08089155",0.12999
"49","HI",2019,24,"Y","S_Alt","2019.01.24.123.01","Mother",8.803688491,12.79390276,15.45932468,16.86452791,17.14316235,22.39914255,22.17509193,23.04104878,23.99417644,22.93657587,21.86966987,18.53754727,15.84005465,13.04157115,8.238915232,5.717205092,3.093015207,4.046214916,15.68479213,"36.83463262",0.34276
"50","HI",2019,24,"Y","S_Alt","2019.01.24.123.02","Calf",8.149799278,11.93707123,14.2907314,19.98093275,20.12295155,20.59976152,20.73393975,20.8251089,20.75868617,19.70132574,17.72846758,16.00651969,13.65430037,11.09301515,9.52323198,6.846967736,5.589174451,7.167050342,22.85572073,"37.19522138",0.14332
"51","HI",2019,24,"N","S_Alt","2019.01.24.125.01","Mother",6.339347797,12.05443966,14.90162355,16.47644966,17.74276791,21.69355119,22.43787713,23.70244236,24.93985977,24.88575623,24.21709841,22.52881815,19.99689005,16.82898719,10.3426497,6.924448907,4.038410366,3.934922033,9.021603534,"34.64844225",0.36253
"52","HI",2019,24,"N","S_Alt","2019.01.24.125.02","Calf",8.347926785,11.39117298,15.00117358,19.3575173,21.33637897,22.39323511,23.32147226,23.59874991,23.94329078,22.54236205,21.17271155,17.90972525,14.76629265,11.50982615,7.348416077,5.695916681,4.929701983,9.061226634,26.83587313,"33.41969506",0.15305
"53","HI",2019,24,"Y","S_Alt","2019.01.24.126.01","Mother",8.647897666,12.63088372,16.09412277,16.66684466,21.04235155,21.34127782,22.94470461,24.99588443,25.7668539,25.3138418,22.88837977,20.16696921,18.12415826,13.7358279,10.99432962,6.799612128,4.525378265,3.454017669,18.04070961,"28.70815445",0.39767
"54","HI",2019,24,"N","S_Alt","2019.01.24.126.02","Calf",9.068358792,12.19618229,14.17175404,16.15272893,19.36123947,20.19624227,21.66586305,22.55070691,22.28806579,21.64142881,20.80474503,17.76392425,14.84537075,12.24890503,9.934303632,6.41678094,5.376686572,8.291421843,19.4820419,"24.7736211",0.15877
"55","HI",2019,64,"Y","S_Alt","2019.03.05.02.01","Mother",7.28516,11.22635,13.95634,14.21542,18.00506,17.58938,16.99619,18.18227,18.44893,17.89127,16.88886,14.67334,13.2343,10.80857,7.79447,5.97055,3.51948,2.4289,9.73592,"25.87250677",0.4522
"56","HI",2019,64,"Y","S_Alt","2019.03.05.02.02","Calf",7.97156,10.94386,12.4605,14.67199,17.31154,18.40467,19.33896,19.52027,18.80855,17.41206,15.24759,13.41405,11.36709,8.9568,7.11483,4.62982,3.423,8.75837,22.54377,"25.43865133",0.21805
"57","HI",2019,64,"Y","S_Alt","2019.03.05.04.01","Mother",7.98564,11.49522,13.01945,13.28188,17.53335,17.28795,18.27534,18.97646,19.87832,19.6207,18.26295,16.44923,12.92253,10.49118,8.2433,5.77294,3.66328,2.52073,9.33045,"27.06731542",0.42318
"58","HI",2019,64,"Y","S_Alt","2019.03.05.04.02","Calf",8.25439,11.23459,13.05688,17.51073,17.65605,18.31518,19.62153,19.63774,19.07869,18.02028,16.42718,15.05941,12.46971,8.80065,6.62958,5.12559,3.86756,4.67361,18.90229,"26.99206632",0.15774
"59","HI",2019,64,"Y","S_Alt","2019.03.05.05.01","Mother",7.56683,11.05037,13.33658,14.04581,15.16711,16.49687,16.65024,17.58768,17.29921,17.17209,16.10011,14.75296,11.80808,9.2547,7.0515,4.62912,3.4918,2.59508,13.41373,"24.83917891",0.44853
"60","HI",2019,64,"Y","S_Alt","2019.03.05.05.02","Calf",7.45473,10.2486,12.769,15.22013,17.56433,18.35044,18.97591,19.1906,18.70054,17.9889,15.44233,13.89481,11.01494,9.53653,7.06381,5.18235,3.93516,6.68445,19.63977,"25.66995904",0.1658
"61","HI",2019,64,"Y","S_Alt","2019.03.05.06.04","Mother",7.9551,11.58136,13.63381,13.89234,15.41124,17.53622,17.80775,18.20603,18.58715,18.09577,17.32135,15.91863,13.5658,10.59405,7.7915,5.35596,3.01884,2.17746,10.12471,"25.20467788",0.46349
"62","HI",2019,64,"Y","S_Alt","2019.03.05.06.05","Calf",7.77833,10.53647,12.40721,14.21023,17.63515,17.56434,19.13089,19.28224,19.62098,19.76923,18.51977,16.4009,13.77144,10.6508,8.13676,5.87941,4.5183,5.04865,15.44451,"25.79419123",0.18821
"63","HI",2019,64,"Y","S_Alt","2019.03.05.07.01","Mother",8.04704,11.80741,13.87921,14.44991,14.66549,18.07835,17.60085,18.04338,18.97673,18.78406,18.11396,16.66906,14.55002,12.5737,8.95881,6.50201,3.73727,2.15705,8.71777,"25.88387991",0.44256
"64","HI",2019,64,"Y","S_Alt","2019.03.05.07.02","Calf",8.08374,10.85458,12.41213,14.37368,18.46314,18.87267,19.8578,20.2344,19.91446,19.0143,17.92452,15.95252,13.19531,10.12692,7.85179,6.32855,5.12865,5.78879,17.7888,"25.81149396",0.17086
"65","HI",2019,64,"Y","S_Alt","2019.03.05.09.01","Mother",7.41642,11.13913,13.11403,14.02992,15.64796,17.76745,17.6474,18.1081,18.91747,18.88769,17.42058,15.55358,13.56886,10.97694,8.06339,5.24315,2.74422,2.35444,13.73797,"30.48263073",0.39848
"66","HI",2019,64,"Y","S_Alt","2019.03.05.09.02","Calf",7.41458,10.69275,12.74716,15.51381,18.0254,19.42988,20.41709,21.28856,20.91752,19.30393,18.7065,16.54121,12.9276,10.27307,7.52504,5.10952,3.52448,7.85808,19.83336,"28.0597386",0.18099
"67","HI",2019,64,"Y","S_Alt","2019.03.05.14.01","Mother",6.91949,10.52514,12.34222,13.79298,14.88459,17.8056,18.2394,19.07395,19.5476,18.70049,17.45316,16.09984,14.29168,11.36344,8.0667,5.63419,4.19561,2.54128,8.88749,"26.80238287",0.482641
"68","HI",2019,64,"Y","S_Alt","2019.03.05.14.02","Calf",7.25008,10.22861,12.60394,15.58498,17.98458,18.62113,19.46962,19.69984,20.01473,19.65873,17.94996,15.12758,12.19378,9.46182,8.00429,5.96527,3.43532,6.7144,19.16987,"25.27805611",0.2103
"69","HI",2019,64,"N","S_Alt","2019.03.05.15.02","Mother",8.98903,12.68934,14.9152,15.03712,15.71535,18.91987,18.15816,19.54417,19.31263,18.65586,17.8829,16.98277,14.86977,11.49907,8.50563,5.21846,3.29571,2.81709,13.89362,"22.68266389",0.5316
"70","HI",2019,65,"Y","Alt","2019.03.06.17.02","Mother",8.15,11.70761,13.63747,14.23471,17.59899,17.62292,18.10203,19.25314,19.85241,19.88316,19.33464,16.51907,14.20537,11.40027,7.45776,5.4954,3.20976,2.29281,10.85063,"25.06583585",0.48682
"71","HI",2019,65,"Y","Alt","2019.03.06.17.01","Calf",7.47017,10.36654,13.03894,15.30282,16.31759,17.23629,18.52243,18.8539,19.13203,18.46516,17.03932,14.48633,12.40387,10.47801,7.77865,4.88512,3.3048,3.87909,14.53531,"19.39657259",0.28614
